@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs9" NUMERIC

@DATA
1.264E2,8.203E-1,?,7.214E2,1.342E-3,1.295E-1,?,1.11E2,?,?,?,4.007E-2,-7.63E-2,1.068E-2,6.936E-2,1.654E-2,1.064E-1,-3.105E-2,-3.745E-2,7.199E-2,0E0,6.734E-1,1.259E2,5.802E3,1.132E4,5.8E7,?,?,?,?,?,?,?,?,?,?
1.143E2,8.398E-1,?,6.071E2,1.344E-3,1.129E-1,?,1.11E2,?,?,?,-8.039E-2,-1.663E-1,-3.189E-2,6.196E-2,2.421E-2,-7.346E-3,-1.379E-1,6.908E-2,-2.227E-2,0E0,6.489E-1,1.208E2,5.684E3,5.002E4,5.411E7,?,?,?,?,?,?,?,?,?,?
1.35E2,8.281E-1,?,6.622E2,1.385E-3,1.31E-1,?,1.15E2,?,?,?,7.702E-2,-5.185E-3,-5.707E-2,6.135E-2,1.843E-1,1.022E-2,-2.139E-2,-9.006E-2,-6.951E-2,0E0,7.27E-1,1.304E2,5.294E3,-2.054E4,5.006E7,?,?,?,?,?,?,?,?,?,?
1.31E2,9.023E-1,?,6.374E2,1.406E-3,1.382E-1,?,1.19E2,?,?,?,1.254E-1,-1.35E-1,1.429E-1,-3.975E-2,2.77E-2,8.589E-2,-9.98E-3,-1.073E-1,-6.684E-2,0E0,7.449E-1,1.289E2,5.84E3,6.339E3,5.795E7,?,?,?,?,?,?,?,?,?,?
1.161E2,8.164E-1,?,6.904E2,1.401E-3,1.183E-1,?,9.8E1,?,?,?,-1.302E-1,2.081E-1,-8.083E-2,-7.768E-2,1.192E-1,-3.233E-2,3.334E-2,-9.029E-2,-1.007E-2,0E0,6.214E-1,1.202E2,5.399E3,6.972E4,5.746E7,?,?,?,?,?,?,?,?,?,?
1.073E2,8.477E-1,?,6.216E2,1.818E-3,1.474E-1,?,9.5E1,?,?,?,-2.083E-1,-2.038E-1,-2.744E-1,-1.282E-1,5.52E-2,6.823E-2,-8.421E-2,6.112E-2,-5.048E-2,0E0,7.423E-1,1.194E2,6.206E3,1.812E4,6.296E7,?,?,?,?,?,?,?,?,?,?
1.292E2,8.125E-1,?,5.523E2,1.009E-3,1.061E-1,?,1.06E2,?,?,?,3.948E-2,4.001E-2,-7.129E-3,9.098E-2,-9.787E-2,9.504E-2,7.752E-2,8.391E-2,3.925E-2,0E0,5.248E-1,1.284E2,5.017E3,-2.328E4,4.598E7,?,?,?,?,?,?,?,?,?,?
1.378E2,8.008E-1,?,5.14E2,1.019E-3,1.029E-1,?,1.04E2,?,?,?,-1.572E-2,1.37E-1,8.829E-2,-1.224E-3,4.479E-3,1.291E-1,9.89E-2,-6.778E-2,-9.673E-3,0E0,5.639E-1,1.332E2,4.774E3,-2.009E4,4.438E7,?,?,?,?,?,?,?,?,?,?
1.281E2,8.398E-1,?,5.106E2,1.198E-3,1.135E-1,?,1.09E2,?,?,?,2.461E-2,1.581E-2,-3.714E-2,3.763E-3,-3.837E-2,-4.07E-2,-5.249E-2,-2.767E-3,-9.536E-2,0E0,6.529E-1,1.279E2,5.399E3,-8.288E3,5.198E7,?,?,?,?,?,?,?,?,?,?
1.256E2,8.32E-1,?,6.261E2,1.333E-3,1.138E-1,?,1.07E2,?,?,?,2.292E-2,-1.802E-1,-5.567E-2,6.08E-2,-5.333E-2,-9.056E-2,-4.639E-2,-6.71E-2,-5.995E-2,0E0,5.949E-1,1.285E2,6.202E3,-6.055E4,6.399E7,?,?,?,?,?,?,?,?,?,?
1.44E2,9.219E-1,?,8.791E2,1.182E-3,1.092E-1,?,1.11E2,?,?,?,1.061E-1,-1.96E-2,6.81E-2,6.267E-2,7.031E-2,-1.398E-2,1.339E-1,8.47E-2,1.757E-2,0E0,5.648E-1,1.364E2,5.62E3,-3.485E4,5.475E7,?,?,?,?,?,?,?,?,?,?
