@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "MFCC0" NUMERIC
@ATTRIBUTE "MFCC1" NUMERIC
@ATTRIBUTE "MFCC2" NUMERIC
@ATTRIBUTE "MFCC3" NUMERIC
@ATTRIBUTE "MFCC4" NUMERIC
@ATTRIBUTE "MFCC5" NUMERIC
@ATTRIBUTE "MFCC6" NUMERIC
@ATTRIBUTE "MFCC7" NUMERIC
@ATTRIBUTE "MFCC8" NUMERIC
@ATTRIBUTE "MFCC9" NUMERIC
@ATTRIBUTE "MFCC10" NUMERIC
@ATTRIBUTE "MFCC11" NUMERIC
@ATTRIBUTE "MFCC12" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "title" STRING
@ATTRIBUTE "xmpDM:artist" STRING
@ATTRIBUTE "xmpDM:composer" STRING
@ATTRIBUTE "xmpDM:genre" STRING
@ATTRIBUTE "xmpDM:album" STRING

@DATA
1.101E2,8.477E-1,?,7.382E2,1.073E-3,1.068E-1,?,1.04E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-9.288E-2,6.503E-2,-6.366E-4,-3.584E-2,8.369E-2,4.719E-2,6.804E-3,7.814E-2,1.425E-2,0E0,5.464E-1,1.178E2,5.439E3,1.122E5,5.47E7,Cheo Feliciano,Cheo Feliciano,?,Salsa,
1.235E2,9.219E-1,?,6.8E2,1E-3,7.985E-2,?,1.05E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.06E-1,-2.947E-1,2.084E-1,-4.381E-2,1.174E-1,4.007E-2,-2.005E-1,2.263E-1,-7.028E-2,0E0,4.102E-1,1.205E2,6.176E3,1.136E5,6.33E7,No volveré,Bloque de búsqueda,Ernesto "Teto" Ocampo/Iván Benavides,Salsa,Bloque de búsqueda
1.451E2,8.594E-1,?,7.175E2,1.652E-3,1.62E-1,?,1.19E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.741E-1,-1.078E-1,-8.061E-2,1.109E-1,3.173E-2,1.852E-1,1.067E-1,-8.131E-2,2.679E-1,0E0,7.943E-1,1.349E2,5.531E3,-4.918E4,5.383E7,No Estes Amargado,Celia Crúz,?,Salsa,
1.065E2,7.266E-1,?,6.935E2,1.027E-3,1.011E-1,?,1.11E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-5.798E-2,-5.572E-2,-3.289E-2,3.007E-2,3.41E-2,-6.181E-2,4.853E-2,-3.612E-2,-4.187E-2,0E0,4.994E-1,1.158E2,5.248E3,8.189E4,5.272E7,Igual Que Ayer Maelo Ruiz,Maelo Ruiz,?,Salsa,Maelo Ruiz
1.044E2,7.617E-1,?,8.106E2,1.868E-3,1.647E-1,?,1.09E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-1.241E-1,6.611E-2,2.806E-2,-4.642E-2,-2.921E-2,1.659E-2,4.515E-2,-2.849E-2,-6.791E-2,0E0,9.035E-1,1.164E2,5.274E3,8.802E4,5.371E7,Jose Caridad,Andy Montañez,?,Salsa,Salsa
1.495E2,9.57E-1,?,5.998E2,1.353E-3,9.425E-2,?,1.16E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.343E-1,-7.451E-2,6.918E-2,-4.786E-3,8.781E-2,7.466E-2,1.671E-1,-1.329E-1,-2.344E-2,0E0,5.714E-1,1.359E2,6.147E3,4.678E3,6.233E7,BOMBA-LEDE,Johnny Pacheco,?,Genre,AT THE NEW YORK Woworld's FAIR
1.186E2,8.789E-1,?,6.283E2,9.733E-4,8.501E-2,?,1.03E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-5.732E-2,-1.163E-1,2.533E-2,-1.294E-2,-1.557E-1,-6.83E-3,-1.656E-3,6.967E-3,-6.711E-2,0E0,4.729E-1,1.226E2,6.306E3,3.068E4,6.48E7,Baila La Charanga,Tito Rodriguez & His Orchestra,?,Salsa,Pottery Barn: Margarita Mix
1.272E2,8.672E-1,?,5.616E2,9.212E-4,8.505E-2,?,1.1E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,-7.24E-2,-5.816E-2,3.824E-2,-2.061E-2,-1.012E-1,4.86E-2,-1.054E-1,9.581E-2,8.3E-3,0E0,5.181E-1,1.274E2,5.293E3,1.227E4,5.092E7,Saca Tu Mujer Orq Harlow Junior Gonzales,Orquesta Harlow,?,Salsa,Salsa
1.348E2,8.672E-1,?,6.377E2,1.092E-3,9.469E-2,?,1.06E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,4.048E-2,-1.241E-1,-6.649E-2,7.837E-2,-4.69E-2,6.479E-2,4.348E-2,8.541E-2,2.408E-2,0E0,5.615E-1,1.324E2,5.473E3,-2.482E4,5.206E7,Sapijara-la Cocoita-Carmen,Guayacan Orquesta,?,Salsa,Guayacan Orquesta
1.234E2,8.008E-1,?,5.542E2,1.187E-3,1.038E-1,?,1.11E2,?,?,?,-1.15E3,-8.527E-14,2.842E-14,-8.527E-14,5.684E-14,1.35E-13,9.948E-14,-8.527E-14,1.492E-13,-1.563E-13,-2.132E-14,-4.69E-13,8.527E-14,1.403E-2,5.144E-2,-9.487E-2,5.819E-2,1.451E-1,4.155E-2,-3.821E-2,-6.96E-2,-2.104E-1,0E0,5.721E-1,1.248E2,5.247E3,-1.284E3,5.15E7,LA MATO,SALSA,?,Genre,Santiago CERON
