Spectral Centroid0	Spectral Rolloff Point0	Spectral Flux0	Compactness0	Spectral Variability0	Root Mean Square0	Fraction Of Low Energy Windows0	Zero Crossings0	Strongest Beat0	Beat Sum0	Strength Of Strongest Beat0	MFCC0	MFCC1	MFCC2	MFCC3	MFCC4	MFCC5	MFCC6	MFCC7	MFCC8	MFCC9	MFCC10	MFCC11	MFCC12	LPC0	LPC1	LPC2	LPC3	LPC4	LPC5	LPC6	LPC7	LPC8	LPC9	Method of Moments0	Method of Moments1	Method of Moments2	Method of Moments3	Method of Moments4						
148,2	0,9648	?	569,8	0,001415	0,0959	?	113	?	?	?	-1150	-8,527E-014	2,842E-014	-8,527E-014	5,684E-014	1,35E-013	9,948E-014	-8,527E-014	1,492E-013	-1,563E-013	-2,132E-014	-4,69E-013	8,527E-014	0,1272	-0,1026	0,06852	-0,03041	0,1029	0,07656	0,1847	-0,1343	-0,04144	0	0,6024	134,9	6403	8064	66360000	BOMBA-LEDE	Johnny-Pacheco	?	Genre	AT-THE-NEW-YORK-Woworld's-FAIR	
123,9	0,8281	?	732,7	0,001212	0,1191	?	123	?	?	?	-1150	-8,527E-014	2,842E-014	-8,527E-014	5,684E-014	1,35E-013	9,948E-014	-8,527E-014	1,492E-013	-1,563E-013	-2,132E-014	-4,69E-013	8,527E-014	0,001952	-0,05114	0,005096	0,1089	0,04667	0,00535	-0,01955	0,04747	0,08841	0	0,6612	126,9	5501	28470	52850000	Agua-pasada	El-Gran-Combo-de-Puerto-Rico	J,-Jiménez-Chavo	Latin	Erupción	
112,4	0,7695	?	614,1	0,001094	0,09403	?	106	?	?	?	-1150	-8,527E-014	2,842E-014	-8,527E-014	5,684E-014	1,35E-013	9,948E-014	-8,527E-014	1,492E-013	-1,563E-013	-2,132E-014	-4,69E-013	8,527E-014	-0,1482	0,04465	0,05259	0,01255	-0,02436	-0,01705	-0,08132	-0,06811	-0,04058	0	0,5566	119,7	5071	42050	49450000	El-Pescador	Johnny-Pacheco	?	Pachanga	El-Grande-Pacheco-Te-Invitar-A-Bailar	
137,2	0,9062	?	813	0,0009889	0,08917	?	117	?	?	?	-1150	-8,527E-014	2,842E-014	-8,527E-014	5,684E-014	1,35E-013	9,948E-014	-8,527E-014	1,492E-013	-1,563E-013	-2,132E-014	-4,69E-013	8,527E-014	0,09756	-0,08329	-0,06883	0,03407	-0,03083	-0,1492	-0,01204	-0,2134	-0,1213	0	0,4734	135,5	5700	-73550	60260000	Adoración	Eddie-Palmieri	?	Salsa	Sentido	
109,5	0,8242	?	700,4	0,001168	0,09695	?	107	?	?	?	-1150	-8,527E-014	2,842E-014	-8,527E-014	5,684E-014	1,35E-013	9,948E-014	-8,527E-014	1,492E-013	-1,563E-013	-2,132E-014	-4,69E-013	8,527E-014	-0,09545	-0,07336	-0,06153	0,03823	0,07379	0,008708	-0,06273	0,002108	0,02994	0	0,5297	120,4	5609	46850	57370000	Moreno-Soy	Sonora-Ponceña	?	Salsa,	Explorando	
122,4	0,8477	?	825,9	0,001183	0,1222	?	112	?	?	?	-1150	-8,527E-014	2,842E-014	-8,527E-014	5,684E-014	1,35E-013	9,948E-014	-8,527E-014	1,492E-013	-1,563E-013	-2,132E-014	-4,69E-013	8,527E-014	-0,03682	0,01835	0,08059	-0,04584	0,08389	0,0628	-0,1062	-0,03992	0,05328	0	0,5887	126,4	5599	17720	55900000	Carmezon	Bobby-Valentín	?	Salsa,	Va-A-La-Cárcel	-Volume-2
142,3	0,8984	?	750,4	0,0006948	0,1024	?	117	?	?	?	-1150	-8,527E-014	2,842E-014	-8,527E-014	5,684E-014	1,35E-013	9,948E-014	-8,527E-014	1,492E-013	-1,563E-013	-2,132E-014	-4,69E-013	8,527E-014	-0,05643	-0,02253	0,1746	0,1118	0,1157	0,1571	0,1117	-0,1471	-0,1231	0	0,3552	135	5809	-54790	58510000	Deseo-Salvaje	Sonora-Ponceña	?	Salsa,	Fuego-En-El-23	
115,3	0,7891	?	547,4	0,001139	0,0971	?	116	?	?	?	-1150	-8,527E-014	2,842E-014	-8,527E-014	5,684E-014	1,35E-013	9,948E-014	-8,527E-014	1,492E-013	-1,563E-013	-2,132E-014	-4,69E-013	8,527E-014	-0,02854	0,0416	-0,04459	0,02247	0,1267	-0,008341	-0,04716	-0,09999	0,01241	0	0,6147	121,1	5343	25280	50200000	003-Compay-Pongase-Duro-Salsa-Mayor	Unknown	?	Salsa	V-E-T-E-R-a-N-O-S-D-E-L-a-S-a-L-S-A	
129,7	0,8555	?	737,7	0,0008763	0,09117	?	102	?	?	?	-1150	-8,527E-014	2,842E-014	-8,527E-014	5,684E-014	1,35E-013	9,948E-014	-8,527E-014	1,492E-013	-1,563E-013	-2,132E-014	-4,69E-013	8,527E-014	-0,04076	-0,01077	-0,08988	0,07664	0,08955	-0,02901	-0,02519	-0,01699	-0,06976	0	0,4464	128,8	5229	-2993	50720000	Desde-Que-Te-Fuiste	Oscar-D'León	?	Salsa	Con-Dulzura	
112	0,8047	?	719	0,003552	0,3359	?	102	?	?	?	-1150	-8,527E-014	2,842E-014	-8,527E-014	5,684E-014	1,35E-013	9,948E-014	-8,527E-014	1,492E-013	-1,563E-013	-2,132E-014	-4,69E-013	8,527E-014	-0,1093	0,03516	-0,004912	-0,01415	-0,09112	-0,1037	0,0854	-0,007194	-0,0459	0	1,719	121,6	5365	42990	52880000	Una-Voz-de-Altura	Ismael-Miranda	?	Genre	La-Mano-Maestra	
